HIP,RA,Dec,pmRA,pmDec
33345,104.02769064,-14.04342969,-1.7,6.89
33347,104.03427011,-17.05424211,-2.46,1.91
35264,109.28565178,-37.09746988,-10.57,7.0
35350,109.52324476,16.54038314,-46.09,-37.9
35550,110.03073983,21.98232055,-18.72,-7.76
37279,114.82549301,5.22499306,-716.57,-1034.58
37297,114.86390879,-38.30802124,-21.35,16.03
37300,114.86913551,17.67451877,2.26,1.34
37648,115.88494423,-28.41088473,-13.62,29.79
39429,120.89602782,-40.0031477,-30.82,16.77
41704,127.56612488,60.71816925,-134.31,-107.73
43409,132.63301402,-27.70984441,-133.49,88.16
45493,139.04719847,54.02185739,49.14,59.79
45688,139.71101495,36.80259678,-32.61,-123.78
45860,140.26375544,34.39256184,-222.8,14.78
47508,145.28763669,9.892308,-143.67,-37.45
47723,145.93293593,14.02169206,5.18,-6.13
49583,151.83313456,16.76266443,-1.94,-0.53
49637,151.97612834,9.99750785,-81.1,-64.2
49669,152.0929611,11.96720706,-249.4,4.91
49841,152.64698939,-12.35408295,-200.33,-100.28
51624,158.20279933,9.30658558,-5.57,-3.59
53740,164.94360292,-18.29878342,-462.39,129.11
53807,165.14020255,3.61749404,15.66,-16.24
53824,165.1866767,6.10144936,-51.03,-22.24
53910,165.46031999,56.38242679,81.66,33.74
53954,165.58239669,20.17984193,-9.6,39.57
55705,171.22051587,-17.68400965,-97.01,3.22
55765,171.40155647,16.4565387,-141.15,-4.89
55945,171.98433339,2.85626541,17.32,-10.41
57757,177.67382733,1.76471793,740.96,-271.18
57936,178.22716875,-33.90812431,-58.02,2.4
58001,178.45769772,53.69476008,107.76,11.16
59803,183.95154259,-17.54192947,-159.58,22.31
59847,184.08557527,23.94540896,-26.85,-5.91
60129,184.97648721,-0.66680331,-59.14,-23.13
60189,185.14017317,-22.21590122,-109.68,-27.71
61932,190.37932752,-48.95988844,-187.28,-1.2
61941,190.41517626,-1.44937487,-616.66,60.66
61960,190.47106888,10.23562538,82.62,-89.51
63945,196.569601,-48.46328926,-29.72,-14.68
64078,196.97421837,-10.74040808,16.03,-9.38
