Name,PtolLon,PtolLat,HIP
13,321.3333333333333,15.0,113186
14,320.5,16.0,112935
15,309.3333333333333,16.5,109427
16,308.0,16.0,109068
17,305.3333333333333,22.5,107315
18,323.3333333333333,41.166666666666664,109410
19,317.3333333333333,34.25,109176
20,312.3333333333333,36.833333333333336,107354
1,355.3333333333333,24.5,3092
2,356.3333333333333,27.0,2912
3,354.3333333333333,23.0,3031
4,353.6666666666667,32.0,1473
5,354.6666666666667,33.5,1366
6,355.0,32.333333333333336,1686
7,349.6666666666667,41.0,116631
8,350.6666666666667,42.0,116805
9,352.1666666666667,44.0,116584
10,354.1666666666667,17.5,3693
11,355.6666666666667,15.833333333333334,4463
12,3.8333333333333335,26.333333333333332,5447
13,1.8333333333333335,30.0,4436
14,2.0,32.5,3881
15,16.833333333333332,28.0,9640
16,17.166666666666668,37.333333333333336,8068
17,15.166666666666666,35.666666666666664,7607
18,12.333333333333334,29.0,7513
19,12.0,28.0,7818
20,10.166666666666666,35.5,5434
21,12.666666666666666,34.5,6999
22,14.166666666666666,32.5,7719
23,341.6666666666667,44.0,113726
1,11.0,16.5,8796
2,16.0,20.666666666666668,10064
3,16.333333333333332,19.666666666666668,10644
4,16.833333333333332,19.0,10670
1,6.666666666666667,7.333333333333333,8832
2,7.666666666666667,8.333333333333334,8903
3,11.0,7.666666666666667,10306
4,11.5,6.0,10732
5,6.5,5.5,9110
6,17.666666666666668,6.0,12332
7,21.333333333333332,4.833333333333333,13914
8,23.833333333333332,1.6666666666666665,14838
9,25.333333333333332,2.5,15110
10,27.0,1.8333333333333335,15737
11,19.666666666666668,1.5,13654
12,18.0,-1.5,13327
13,15.0,-5.25,12828
14,10.666666666666666,10.0,9884
15,21.666666666666668,10.166666666666666,13209
16,21.333333333333332,12.666666666666666,13061
17,19.666666666666668,11.166666666666666,12719
18,19.166666666666668,10.666666666666666,12489
1,26.333333333333332,-6.0,16369
2,26.0,-7.25,16322
3,24.333333333333332,-8.5,16083
4,24.333333333333332,-9.25,15900
5,29.666666666666668,-9.5,17771
6,33.666666666666664,-8.0,18724
7,36.666666666666664,-12.666666666666666,19860
8,33.0,-14.833333333333334,18907
9,42.166666666666664,-10.0,21589
10,43.0,-13.0,21402
11,39.0,-5.75,20205
12,40.333333333333336,-4.25,20455
13,40.833333333333336,-5.833333333333333,20885
14,42.666666666666664,-5.166666666666667,21421
15,41.833333333333336,-3.0,20889
16,47.166666666666664,-4.0,22565
17,50.333333333333336,-5.0,23835
18,50.0,-3.5,23871
19,57.666666666666664,-2.5,26451
20,45.666666666666664,-0.25,21881
21,55.666666666666664,5.0,25428
22,42.0,0.5,20711
23,41.666666666666664,0.25,20635
24,37.0,0.6666666666666666,19038
25,39.0,-1.0,19990
26,38.5,5.0,19513
27,38.0,7.333333333333333,19205
28,42.0,3.0,20430
29,41.666666666666664,5.0,20250
30,32.166666666666664,4.5,17531
31,32.5,3.6666666666666665,17499
32,33.666666666666664,3.3333333333333335,17847
